Gene	Annotation	Mean Probe Intensity VSgDNA 	Median Probe Intensity VSgDNA 	Bright Segment Length Dependent Score VSgDNA 	Bright Probe Fraction VSgDNA 	Mean Bright Probe Intensity VSgDNA 	Median Bright Probe Intensity VSgDNA 	Sequence Identity to VS
ABY28307.1	ABY28307.1 putative reductive dehalogenase [Dehalococcoides sp. enrichment culture clone KS5(KSRdA06)].	287.3191489	81	6	0.085106383	2014	1864.75	
ABV36340.1	ABV36340.1 tetrachloroethene dehalogenase [Shewanella sediminis HAW-EB3].	173.1382979	109	4	0.085106383	602.875	580.5	
AAL87788.1	AAL87788.1 reductive dehalogenase [Desulfitobacterium hafniense DCB-2].	305.1145833	109	6	0.083333333	2052.125	879.75	
2013890159	>2013890159 DCKB1\_37290 reductive dehalogenase 1006..2466(+) [Aquatic dechlorinating community (KB-1) (Sample 10166)]	552.8125	71.25	6	0.083333333	5563.5	4592.5	
ADR00316.1	ADR00316.1 TceA protein [Dehalococcoides sp. enrichment culture SL2 clone SL2-DCE-G1].	415.9791667	112	4	0.083333333	3508	3508	
AEG62009.1	AEG62009.1 protein of unknown function UPF0153 [Desulfotomaculum ruminis DSM 2154].	203.875	98	4	0.083333333	1177	1177	
AAL24440.1	AAL24440.1 tetrachlorohydroquinone reductive dehalogenase [Sphingomonas sp. UG30].	287.3125	226.75	2	0.083333333	1365.75	1365.75	
ADJ25599.1	ADJ25599.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	160.0714286	67	4	0.081632653	905	873.25	
AAW40361.1	"AAW40361.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	241.77	72.5	6	0.08	1746.625	1071.75	
ADC74641.1	ADC74641.1 reductive dehalogenase [Dehalococcoides sp. GT].	284.4607843	121	6	0.078431373	1809.75	846.5	
2013897936	>2013897936 DCKB1\_115150 reductive dehalogenase 35447..37030(+) [Aquatic dechlorinating community (KB-1) (Sample 10166)]	254.8942308	67	8	0.076923077	2140.125	833.5	
CAI83526.1	CAI83526.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	144.3076923	65.5	6	0.076923077	785.875	767.75	
AAL87790.1	AAL87790.1 putative reductive dehalogenase [Desulfitobacterium hafniense DCB-2].	181.2333333	94	9	0.066666667	892.1666667	841.5	
AAT48552.1	AAT48552.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	150.7659574	63	5	0.063829787	946.6666667	814	
ADJ26812.1	ADJ26812.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	156.5212766	84.5	5	0.063829787	807	769.5	
BAI47810.1	BAI47810.1 putative reductive dehalogenase [uncultured bacterium].	350.0531915	90	5	0.063829787	3505.166667	2962	
AAT48554.1	AAT48554.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	345.5851064	76.5	3	0.063829787	3710.833333	2583.5	
AAR24345.1	AAR24345.1 reductive dehalogenase homologous protein RdhA11 [Dehalococcoides sp. FL2].	138.3020833	67.5	3	0.0625	1101.666667	686	
AAW40468.1	"AAW40468.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	172.9285714	94	5	0.06122449	928.6666667	945	
2014766079	>2014766079 ANASMEC342830 reductive dehalogenase 6928..8415(+) [ANAS dechlorinating bioreactor (Sample 196)]	287.5102041	65	5	0.06122449	3497.666667	2889	
CAI82479.1	CAI82479.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	289.5102041	82	3	0.06122449	2963.5	985.5	
ABQ16703.1	ABQ16703.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	213.58	73.75	5	0.06	1943	1704	
BAG72170.1	BAG72170.1 reductive dehalogenase homologouse [uncultured bacterium].	177.13	99	3	0.06	864.3333333	752.5	
AAW40356.1	"AAW40356.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	251.3627451	93	5	0.058823529	2563.333333	2919	
CAD62440.1	CAD62440.1 chloroethene reductive dehalogenase RdhA2 [Dehalobacter restrictus].	143.9102564	64.5	4	0.051282051	1277.25	1277.25	
CAD62438.1	CAD62438.1 chloroethene reductive dehalogenase RdhA [Desulfitobacterium sp. PCE1].	206.952381	59	1	0.047619048	2255.5	2255.5	
CAJ75439.1	CAJ75439.1 hypothetical protein [uncultured bacterium].	1462.666667	100	1	0.047619048	28261	28261	
AAO15649.1	AAO15649.1 putative reductive dehalogenase subunit A [uncultured marine bacterium].	232.3255814	66	4	0.046511628	3518.5	3518.5	
2107933862	">2107933862 DHTCA2\_00311880 reductive dehalogenase 3606..4910(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	137.7093023	74	2	0.046511628	670.25	670.25	
AAD44542.1	AAD44542.1 ortho-chlorophenol reductive dehalogenase catalytically active subunit precursor [Desulfitobacterium dehalogenans ATCC 51507].	151.5340909	81.25	2	0.045454545	654.75	654.75	
BAI47816.1	BAI47816.1 putative reductive dehalogenase [uncultured bacterium].	168.0113636	103	2	0.045454545	715.25	715.25	
2107962337	">2107962337 DHTCA2\_00596630 reductive dehalogenase 10520..11842(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	120.4204545	80	2	0.045454545	575.25	575.25	
BAI47812.1	BAI47812.1 putative reductive dehalogenase [uncultured bacterium].	146.1222222	102	4	0.044444444	854.5	854.5	
EED36883.1	EED36883.1 reductive dehalogenase [gamma proteobacterium NOR51-B].	168.3222222	94	4	0.044444444	1225	1225	
AAL84925.1	AAL84925.1 o-chlorophenol reductive dehalogenase [Desulfitobacterium chlororespirans].	147.5666667	75	2	0.044444444	1221.25	1221.25	
ABY28313.1	ABY28313.1 putative reductive dehalogenase [Dehalococcoides sp. enrichment culture clone KS24(KSRdA09)].	201.2934783	61.5	2	0.043478261	2737	2737	
2107921372	">2107921372 DHTCA2\_00186980 reductive dehalogenase 165975..167363(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	157.4347826	74.5	2	0.043478261	941	941	
ADJ25606.1	ADJ25606.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	145.4468085	61	4	0.042553191	1682.25	1682.25	
ADJ26644.1	ADJ26644.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	167.1382979	70	4	0.042553191	1179.75	1179.75	
EEZ01311.1	EEZ01311.1 tetrachloroethene reductive dehalogenase PceA [Vibrio sp. RC586].	126.6382979	71	4	0.042553191	804.75	804.75	
2013897921	>2013897921 DCKB1\_115000 reductive dehalogenase 19387..20796(+) [Aquatic dechlorinating community (KB-1) (Sample 10166)]	185.8510638	71	4	0.042553191	2196.5	2196.5	
ABY28334.1	ABY28334.1 putative reductive dehalogenase [Dehalococcoides sp. enrichment culture clone RC71(RCRdA15)].	214.5106383	113	2	0.042553191	1808.75	1808.75	
ADJ25598.1	ADJ25598.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	121.9255319	71	2	0.042553191	612.25	612.25	
2014753787	>2014753787 ANASMEC218960 reductive dehalogenase 12862..14277(+) [ANAS dechlorinating bioreactor (Sample 196)]	198.4893617	91.5	2	0.042553191	2089.25	2089.25	
BAI70456.1	BAI70456.1 reductive dehalogenase [uncultured bacterium].	220.9791667	72.5	4	0.041666667	3320.25	3320.25	
2014767429	>2014767429 ANASMEC356400 reductive dehalogenase 79..1533(+) [ANAS dechlorinating bioreactor (Sample 196)]	141.53125	65.25	4	0.041666667	1436	1436	
CAI83513.1	CAI83513.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	91.16666667	62	2	0.041666667	598.5	598.5	
BAF34634.1	BAF34634.1 reductive dehalogenase homologue [uncultured bacterium].	126.3265306	78	2	0.040816327	589.25	589.25	
2013897488	>2013897488 DCKB1\_110630 reductive dehalogenase 123920..125434(+) [Aquatic dechlorinating community (KB-1) (Sample 10166)]	481.47	73.25	4	0.04	9449	9449	
AAW39843.1	"AAW39843.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	142.7156863	66	4	0.039215686	1687	1687	
2014774104	>2014774104 ANASMEC423500 reductive dehalogenase 24153..25724(+) [ANAS dechlorinating bioreactor (Sample 196)]	271.375	72	4	0.038461538	4462.75	4462.75	
ACH87594.1	"ACH87594.1 putative 1,2-dichloroethane reductive dehalogenase RdhA1 [Dehalobacter sp. WL]."	212.3363636	75.5	4	0.036363636	2764.5	2764.5	
CAJ75430.1	CAJ75430.1 dichloroethane reductive dehalogenase [Desulfitobacterium dichloroeliminans LMG P-21439].	226.5727273	75	4	0.036363636	3406	3406	
2107932524	">2107932524 DHTCA2\_00298500 reductive dehalogenase 3868..5523(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	280.6	75	4	0.036363636	4555.5	4555.5	
2107921215	">2107921215 DHTCA2\_00185410 reductive dehalogenase 149..1801(+) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	131.2454545	79.5	2	0.036363636	982.5	982.5	
2107932531	">2107932531 DHTCA2\_00298570 reductive dehalogenase 10592..12247(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	230.4090909	73	2	0.036363636	3134.25	3134.25	
ADJ40002.1	ADJ40002.1 reductive dehalogenase [uncultured bacterium].	147.7833333	63	1	0.033333333	2205	2205	
ACF24858.1	ACF24858.1 putative reductive dehalogenase [Dehalococcoides sp. MB].	113.7878788	69	1	0.03030303	567	567	
ACH87596.1	ACH87596.1 putative reductive dehalogenase RdhA2 [Dehalobacter sp. WL].	232.7361111	86.5	1	0.027777778	3772	3772	
EEG78983.1	EEG78983.1 reductive dehalogenase [Dethiobacter alkaliphilus AHT 1].	132.025	85	1	0.025	886.5	886.5	
BAI47804.1	BAI47804.1 putative reductive dehalogenase [uncultured bacterium].	143.0909091	93.75	1	0.022727273	886	886	
2107921676	">2107921676 DHTCA2\_00190020 reductive dehalogenase 1201..2538(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	100.0340909	62.25	1	0.022727273	604.5	604.5	
2107927725	">2107927725 DHTCA2\_00250510 reductive dehalogenase 6921..8267(+) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	129.0227273	89.5	1	0.022727273	983	983	
BAF34633.1	BAF34633.1 reductive dehalogenase homologue [uncultured bacterium].	130.3888889	73.5	1	0.022222222	1430	1430	
BAI47850.1	BAI47850.1 putative reductive dehalogenase [uncultured bacterium].	243.4444444	66	1	0.022222222	7345	7345	
ABY28335.1	ABY28335.1 putative reductive dehalogenase [Dehalococcoides sp. enrichment culture clone RC73(RCRdA13)].	112.5869565	77.25	1	0.02173913	543	543	
ADJ26821.1	ADJ26821.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	155.4673913	73.25	1	0.02173913	2528.5	2528.5	
CAI83563.1	CAI83563.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	76.95652174	61	1	0.02173913	544	544	
2107962334	">2107962334 DHTCA2\_00596600 reductive dehalogenase 7333..8727(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	109.7826087	78	1	0.02173913	582	582	
ABV36709.1	ABV36709.1 tetrachloroethene dehalogenase [Shewanella sediminis HAW-EB3].	112.9148936	78	1	0.021276596	842	842	
2107921819	">2107921819 DHTCA2\_00191450 reductive dehalogenase 1350..2759(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	139.712766	73	1	0.021276596	1812.5	1812.5	
ABQ16710.1	ABQ16710.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	380.4270833	66.5	1	0.020833333	14455	14455	0.748
ADJ26807.1	ADJ26807.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	101.4270833	59.75	1	0.020833333	623.5	623.5	
BAI47822.1	BAI47822.1 putative reductive dehalogenase [uncultured bacterium].	246.9583333	91.75	1	0.020833333	5094	5094	
CAI82345.1	CAI82345.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	125.1666667	68.25	1	0.020833333	1215	1215	
ABV38724.1	ABV38724.1 hypothetical protein Ssed\_4120 [Shewanella sediminis HAW-EB3].	325	95	1	0.020408163	9492	9492	
CAI82340.1	CAI82340.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	104.2653061	59	1	0.020408163	1573.5	1573.5	
2013897169	>2013897169 DCKB1\_107470 reductive dehalogenase 32149..33621(-) [Aquatic dechlorinating community (KB-1) (Sample 10166)]	117.7959184	78	1	0.020408163	555	555	
EAS45659.1	EAS45659.1 putative reductive dehalogenase [Photobacterium profundum 3TCK].	163.59	77.5	1	0.02	3244.5	3244.5	
AAO60101.1	AAO60101.1 tetrachloroethene reductive dehalogenase precursor [Desulfitobacterium sp. PCE-S].	178.8636364	78.5	1	0.018181818	3316	3316	
BAF57046.1	BAF57046.1 putative PCE dehalogenase [Desulfitobacterium sp. CR1].	259.0272727	104	1	0.018181818	6868	6868	
AAC60788.1	AAC60788.1 tetrachloroethene reductive dehalogenase catalytically active subunit [Sulfurospirillum multivorans].	61.06	57.25	0	0	0	0	
AAG46194.1	AAG46194.1 putative tetrachloroethene reductive dehalogenase catalytically active subunit PceA [Sulfurospirillum halorespirans].	61.33	56	0	0	0	0	
AAG48370.1	AAG48370.1 putative reductive dehalogenase RdhA [Desulfitobacterium dehalogenans].	85.64583333	60.75	0	0	0	0	
AAL87752.1	AAL87752.1 putative reductive dehalogenase [Desulfitobacterium hafniense DCB-2].	133.7	97	0	0	0	0	
AAL87763.1	AAL87763.1 o-chlorophenol reductive dehalogenase [Desulfitobacterium hafniense DCB-2].	144.1363636	89	0	0	0	0	
AAL87772.1	AAL87772.1 putative reductive dehalogenase [Desulfitobacterium hafniense DCB-2].	122.1195652	85.75	0	0	0	0	
AAT64888.1	AAT64888.1 putative vinyl chloride reductive dehalogenase bvcA [Dehalococcoides sp. BAV1].	81.98039216	61.5	0	0	0	0	
AAW39215.1	"AAW39215.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	79.15625	65.5	0	0	0	0	
ABO71655.1	ABO71655.1 reductive dehalogenase [uncultured bacterium].	114.84375	72.75	0	0	0	0	
ACD96581.1	ACD96581.1 reductive dehalogenase [Geobacter lovleyi SZ].	75.68627451	60	0	0	0	0	
ACZ13090.1	ACZ13090.1 4Fe-4S ferredoxin iron-sulfur binding domain protein [Sulfurospirillum deleyianum DSM 6946].	78.83035714	58.25	0	0	0	0	
ADC66443.1	ADC66443.1 reductive dehalogenase [Ferroglobus placidus DSM 10642].	80.85	58	0	0	0	0	
ADJ26797.1	ADJ26797.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	88.42222222	75	0	0	0	0	
ADJ26803.1	ADJ26803.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	54.80769231	55	0	0	0	0	
BAE45338.1	BAE45338.1 tetrachloroethene reductive dehalogenase [Desulfitobacterium sp. KBC1].	89.43478261	60.25	0	0	0	0	
BAF34631.1	BAF34631.1 reductive dehalogenase homologue [uncultured bacterium].	128.4270833	80.25	0	0	0	0	
BAJ06127.1	BAJ06127.1 trichloroethene reductive dehalogenase [uncultured Dehalococcoides sp.].	98.31818182	65.5	0	0	0	0	
BAJ09321.1	BAJ09321.1 putative tetrachloroethene reductive dehalogenase catalytically active subunit PceA1 [uncultured bacterium].	73.68367347	58.5	0	0	0	0	
CAC37166.1	CAC37166.1 putative CprA [Dehalobacter restrictus].	96.83333333	81.25	0	0	0	0	
CAC37170.1	CAC37170.1 putative CprA [uncultured microorganism DCP/6-8].	100.1333333	69	0	0	0	0	
CAC37178.1	CAC37178.1 putative CprA [uncultured microorganism TCB/7-41].	94.9	83	0	0	0	0	
EET60780.1	EET60780.1 putative reductive dehalogenase [Bryantella formatexigens DSM 14469].	69.7	71	0	0	0	0	
EFH07355.1	EFH07355.1 reductive dehalogenase subfamily [Clostridium difficile NAP08].	53.67142857	52.5	0	0	0	0	
YP_001473840.1	YP_001473840.1 hypothetical protein Ssed\_2103 [Shewanella sediminis HAW-EB3].	100.77	78	0	0	0	0	
2014753858	>2014753858 ANASMEC219670 reductive dehalogenase 81651..83084(+) [ANAS dechlorinating bioreactor (Sample 196)]	110.2234043	66	0	0	0	0	
2014767507	>2014767507 ANASMEC357150 reductive dehalogenase 62889..64352(-) [ANAS dechlorinating bioreactor (Sample 196)]	62.22916667	58.25	0	0	0	0	
2014767632	>2014767632 ANASMEC358390 reductive dehalogenase 187506..188984(-) [ANAS dechlorinating bioreactor (Sample 196)]	101.4591837	74	0	0	0	0	
2107942435	">2107942435 DHTCA2\_00397610 reductive dehalogenase 335..1624(+) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	91.8372093	67	0	0	0	0	
